id,date,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,oreb,pf,pts,reb,stl,turnover,total_min
34090,2017-01-08,7.0,0.0,1.0,0.571,7.0,4.0,0.5,20.0,10.0,1.0,3.0,3.0,39:58,1.0,0.0,27.0,2.0,1.0,7.0,39.96666666666667
34091,2017-01-10,4.0,0.0,2.0,0.25,8.0,2.0,0.278,18.0,5.0,1.0,8.0,8.0,38:60,2.0,3.0,20.0,4.0,1.0,3.0,39.0
34092,2017-01-11,1.0,0.0,0.0,0.5,2.0,1.0,0.25,16.0,4.0,1.0,2.0,2.0,31:56,3.0,2.0,11.0,3.0,2.0,3.0,31.933333333333334
34448,2017-01-13,5.0,0.0,3.0,0.286,7.0,2.0,0.455,22.0,10.0,1.0,4.0,4.0,34:38,1.0,5.0,26.0,4.0,1.0,3.0,34.63333333333333
34451,2017-01-16,2.0,1.0,2.0,0.2,5.0,1.0,0.316,19.0,6.0,0.8,5.0,4.0,29:09,0.0,3.0,17.0,2.0,1.0,6.0,29.15
34097,2017-01-19,4.0,0.0,2.0,0.286,7.0,2.0,0.5,20.0,10.0,0.8,5.0,4.0,32:52,0.0,2.0,26.0,2.0,2.0,2.0,32.86666666666667
34708,2017-01-21,9.0,0.0,2.0,0.375,8.0,3.0,0.591,22.0,13.0,0.0,1.0,0.0,41:02,1.0,2.0,29.0,3.0,2.0,2.0,41.03333333333333
34457,2017-01-23,4.0,1.0,2.0,0.571,14.0,8.0,0.536,28.0,15.0,1.0,11.0,11.0,41:38,0.0,4.0,49.0,2.0,2.0,0.0,41.63333333333333
34205,2017-01-25,6.0,2.0,1.0,0.25,4.0,1.0,0.474,19.0,9.0,0.5,2.0,1.0,41:58,0.0,3.0,20.0,1.0,2.0,3.0,41.96666666666667
34104,2017-01-27,6.0,1.0,4.0,0.6,5.0,3.0,0.588,17.0,10.0,1.0,5.0,5.0,31:04,0.0,3.0,28.0,4.0,0.0,3.0,31.066666666666666
34106,2017-01-29,10.0,0.0,3.0,0.333,6.0,2.0,0.545,22.0,12.0,1.0,3.0,3.0,34:43,0.0,3.0,29.0,3.0,1.0,2.0,34.71666666666667
33381,2017-01-30,5.0,0.0,4.0,0.125,8.0,1.0,0.333,21.0,7.0,1.0,3.0,3.0,32:50,1.0,3.0,18.0,5.0,2.0,6.0,32.833333333333336
34976,2017-02-01,14.0,0.0,0.0,0.167,6.0,1.0,0.278,18.0,5.0,0.75,4.0,3.0,30:47,2.0,2.0,14.0,2.0,1.0,1.0,30.783333333333335
34467,2017-02-06,5.0,0.0,1.0,0.286,7.0,2.0,0.333,24.0,8.0,1.0,5.0,5.0,44:08,0.0,3.0,23.0,1.0,1.0,3.0,44.13333333333333
33803,2017-02-08,7.0,0.0,0.0,0.0,5.0,0.0,0.545,22.0,12.0,1.0,5.0,5.0,34:09,0.0,2.0,29.0,0.0,2.0,3.0,34.15
35262,2017-02-09,4.0,1.0,1.0,0.8,5.0,4.0,0.611,18.0,11.0,1.0,2.0,2.0,34:24,0.0,3.0,28.0,1.0,2.0,6.0,34.4
34117,2017-02-11,5.0,1.0,3.0,0.455,11.0,5.0,0.417,24.0,10.0,1.0,2.0,2.0,35:05,1.0,4.0,27.0,4.0,1.0,3.0,35.083333333333336
35266,2017-02-14,7.0,1.0,1.0,0.2,10.0,2.0,0.37,27.0,10.0,1.0,3.0,3.0,37:04,0.0,4.0,25.0,1.0,1.0,0.0,37.06666666666667
34222,2017-02-15,7.0,0.0,2.0,0.429,7.0,3.0,0.412,17.0,7.0,1.0,9.0,9.0,34:19,0.0,3.0,26.0,2.0,2.0,2.0,34.31666666666667
33811,2017-02-23,6.0,1.0,3.0,0.25,4.0,1.0,0.563,16.0,9.0,0.8,5.0,4.0,30:25,1.0,1.0,23.0,4.0,1.0,2.0,30.416666666666668
32948,2017-02-25,7.0,1.0,9.0,0.2,10.0,2.0,0.52,25.0,13.0,0.857,7.0,6.0,35:00,0.0,2.0,34.0,9.0,0.0,2.0,35.0
35537,2017-02-27,9.0,0.0,4.0,0.5,4.0,2.0,0.5,20.0,10.0,1.0,3.0,3.0,36:33,0.0,1.0,25.0,4.0,2.0,4.0,36.55
33213,2017-03-01,1.0,1.0,2.0,0.333,6.0,2.0,0.526,19.0,10.0,1.0,6.0,6.0,32:05,0.0,4.0,28.0,2.0,1.0,2.0,32.083333333333336
33216,2017-03-03,9.0,1.0,2.0,0.625,8.0,5.0,0.667,21.0,14.0,1.0,10.0,10.0,35:30,0.0,0.0,43.0,2.0,4.0,3.0,35.5
33401,2017-03-06,3.0,1.0,5.0,0.444,9.0,4.0,0.44,25.0,11.0,0.857,7.0,6.0,39:38,2.0,1.0,32.0,7.0,0.0,3.0,39.63333333333333
33096,2017-03-09,3.0,1.0,4.0,0.167,6.0,1.0,0.5,22.0,11.0,0.667,6.0,4.0,39:52,1.0,1.0,27.0,5.0,0.0,3.0,39.86666666666667
33223,2017-03-11,7.0,0.0,6.0,0.25,8.0,2.0,0.409,22.0,9.0,1.0,2.0,2.0,35:46,3.0,2.0,22.0,9.0,1.0,2.0,35.766666666666666
35547,2017-03-12,8.0,2.0,3.0,0.3,10.0,3.0,0.435,23.0,10.0,0.833,6.0,5.0,37:10,0.0,4.0,28.0,3.0,0.0,3.0,37.166666666666664
33537,2017-03-14,6.0,0.0,0.0,1.0,4.0,4.0,0.643,14.0,9.0,1.0,4.0,4.0,30:14,1.0,1.0,26.0,1.0,0.0,2.0,30.233333333333334
33646,2017-03-16,4.0,0.0,3.0,0.5,2.0,1.0,0.421,19.0,8.0,0.8,5.0,4.0,30:15,1.0,2.0,21.0,4.0,0.0,1.0,30.25
33415,2017-03-19,3.0,0.0,2.0,0.6,10.0,6.0,0.714,21.0,15.0,1.0,10.0,10.0,37:32,0.0,2.0,46.0,2.0,0.0,3.0,37.53333333333333
33109,2017-03-22,3.0,0.0,1.0,0.8,5.0,4.0,0.5,22.0,11.0,1.0,7.0,7.0,27:26,1.0,2.0,33.0,2.0,0.0,0.0,27.433333333333334
33420,2017-03-24,7.0,0.0,1.0,0.333,6.0,2.0,0.5,22.0,11.0,1.0,2.0,2.0,37:39,0.0,2.0,26.0,1.0,4.0,4.0,37.65
